symbol,date,eps
AGRITECH,2020-06-30,-1.28
AGRITECH,2020-09-30,-1.3
AGRITECH,2020-12-31,-1.57
AGRITECH,2021-03-31,-4.19
AGRITECH,2021-06-30,1.75
AGRITECH,2021-09-30,-1.28
AGRITECH,2021-12-31,-0.61
AGROPHOS,2022-12-31,0.73
AGROPHOS,2023-09-30,2.17
AGROPHOS,2023-12-31,-7.17
AGROPHOS,2024-03-31,-2.11
AGROPHOS,2024-06-30,-0.1
AGROPHOS,2024-09-30,0.21
AGROPHOS,2024-12-31,1.22
AGROPHOS,2025-03-31,1.15
AGROPHOS,2025-06-30,2.16
AGROPHOS,2025-09-30,1.03
AGROPHOS,2025-12-31,0.45
AHLEAST,2022-12-31,2.9
AHLEAST,2023-03-31,3.31
AHLEAST,2023-06-30,1.64
