ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at
ABDL.NS,Allied Blenders and Distillers Limited,Q4 FY25,2025-03-31,9210000000.0,1360000000.0,790000000.0,2.81,-0.054414784394250515,0.21503957783641162,0.38596491228070173,6.181818181818182,ok,2026-04-19T12:03:04.461713+00:00,,,,
ABDL.NS,Allied Blenders and Distillers Limited,Q3 FY25,2024-12-31,9740000000.0,1170000000.0,570000000.0,2.05,0.12211981566820276,0.08826815642458101,0.1875,9999.0,ok,2026-04-19T12:03:04.281551+00:00,,,,
ABDL.NS,Allied Blenders and Distillers Limited,Q2 FY25,2024-09-30,8680000000.0,1030000000.0,480000000.0,1.7,0.14511873350923482,-0.030167597765363128,3.3636363636363638,9999.0,ok,2026-04-19T12:03:04.110534+00:00,,,,
ABDL.NS,Allied Blenders and Distillers Limited,Q1 FY25,2024-06-30,7580000000.0,740000000.0,110000000.0,0.4,-0.013020833333333334,-0.0687960687960688,9999.0,9999.0,ok,2026-04-19T12:03:03.912708+00:00,,,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q4 FY26,,,,,,,,,,DECLARED,,202604.0,announced,2026-06-16,2026-06-16T18:10:17.290632
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q3 FY26,2025-12-31,23740000000.0,3020000000.0,-1370000000.0,-1.25,0.1977800201816347,0.07860063607451158,0.535593220338983,-2.261904761904762,ok,2026-04-19T12:04:52.868446+00:00,,,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q2 FY26,2025-09-30,19820000000.0,620000000.0,-2950000000.0,-2.16,0.08246859639541235,0.1254968767745599,-0.2606837606837607,-0.6857142857142857,ok,2026-04-19T12:04:52.690801+00:00,,,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q1 FY26,2025-06-30,18310000000.0,1060000000.0,-2340000000.0,-1.74,0.0651541593949971,0.0937873357228196,-8.75,-0.08837209302325581,ok,2026-04-19T12:04:52.51778+00:00,,,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q4 FY25,2025-03-31,17190000000.0,1990000000.0,-240000000.0,-0.14,-0.2189913675601999,0.09142857142857143,0.42857142857142855,0.9097744360902256,ok,2026-04-19T12:04:52.342808+00:00,,,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Q3 FY25,2024-12-31,22010000000.0,2930000000.0,-420000000.0,-0.48,0.2498580352072686,-0.47180225581953444,0.76,0.6111111111111112,ok,2026-04-19T12:04:52.17341+00:00,,,,
