Date,HDFC,ICICI,AXISBANK,SBIN,KOTAK,INDUSIND,BANKBEES
2015-08-04,566.064453125,191.23300170898438,249.76551818847656,266.6083679199219,896.7463989257812,137.2762451171875,260.4879150390625
2015-08-05,566.357177734375,190.5050048828125,251.08740234375,264.3161926269531,897.075927734375,137.48487854003906,257.5996398925781
2015-08-06,570.6019897460938,191.60699462890625,251.9495086669922,264.0615539550781,896.0872802734375,140.4456024169922,260.8940734863281
2015-08-07,566.2595825195312,190.30099487304688,251.19088745117188,263.29754638671875,895.4727172851562,140.08792114257812,253.89901733398438
2015-08-10,561.966064453125,190.6219940185547,251.65066528320312,262.8305358886719,893.061279296875,140.5449676513672,255.20777893066406
2015-08-11,557.4285278320312,187.80599975585938,251.6621856689453,256.5909118652344,899.0187377929688,140.0283203125,242.61659240722656
2015-08-12,544.352783203125,182.01199340820312,246.08731079101562,247.59214782714844,864.7394409179688,136.34231567382812,231.37936401367188
2015-08-13,553.818115234375,182.9429931640625,247.71954345703125,247.80441284179688,874.9995727539062,137.25637817382812,234.04197692871094
2015-08-14,556.2088012695312,188.86900329589844,253.2943878173828,256.8880615234375,906.8675537109375,142.61151123046875,242.34585571289062
2015-08-17,547.81689453125,189.40499877929688,250.92649841308594,257.1427001953125,900.01171875,143.02879333496094,252.50001525878906
2015-08-18,547.76806640625,189.08200073242188,249.7425994873047,255.61465454101562,915.5673828125,140.10780334472656,257.0580749511719
2015-08-19,540.595947265625,188.1540069580078,248.7080535888672,258.5010070800781,905.4017944335938,141.55836486816406,250.92047119140625
2015-08-20,520.494384765625,184.5800018310547,247.0643310546875,253.1951446533203,881.4298095703125,138.58770751953125,244.19615173339844
2015-08-21,512.5903930664062,182.32200622558594,243.98379516601562,251.70948791503906,856.0394897460938,136.7099151611328,241.44326782226562
2015-08-24,470.3868103027344,170.04100036621094,234.27088928222656,229.17027282714844,818.5448608398438,128.68218994140625,221.4959716796875
2015-08-25,490.7810974121094,173.46400451660156,234.1329345703125,240.67337036132812,830.3180541992188,127.06273651123047,228.6715850830078
2015-08-26,483.6089172363281,171.61000061035156,232.99496459960938,236.046630859375,807.1026611328125,124.6385269165039,221.76673889160156
2015-08-27,496.92864990234375,173.75399780273438,234.97203063964844,239.781982421875,811.8309326171875,129.23855590820312,225.1514892578125
2015-08-28,495.85528564453125,174.1439971923828,236.31689453125,240.8431396484375,801.5706176757812,128.6523895263672,224.70016479492188
2015-08-31,495.4649658203125,173.45199584960938,236.20196533203125,235.91932678222656,811.4052734375,129.4969024658203,223.2560272216797
2015-09-01,468.4839782714844,167.6999969482422,229.9144287109375,230.01919555664062,786.298583984375,121.95597076416016,215.80966186523438
2015-09-02,455.310546875,164.85299682617188,228.77647399902344,224.84068298339844,779.962890625,120.9525146484375,208.09249877929688
2015-09-03,475.11944580078125,167.34800720214844,232.25933837890625,226.53857421875,803.2255859375,124.60871124267578,209.6268768310547
2015-09-04,456.6767272949219,163.81399536132812,228.98336791992188,218.813232421875,795.0930786132812,120.47561645507812,203.21847534179688
2015-09-07,438.9658203125,160.04400634765625,226.31666564941406,211.46995544433594,775.6129150390625,119.3529281616211,199.56298828125
2015-09-08,462.4339294433594,165.3719940185547,230.82249450683594,221.4025115966797,794.66748046875,123.27738952636719,206.10679626464844
2015-09-09,474.48516845703125,167.13699340820312,233.63868713378906,224.5860137939453,811.310791015625,126.1188735961914,209.0853271484375
2015-09-10,470.9234313964844,167.6439971923828,232.42027282714844,227.00547790527344,819.774169921875,126.23810577392578,205.29444885253906
2015-09-11,469.60614013671875,167.35400390625,232.3052978515625,227.1328125,821.4765014648438,125.43333435058594,207.6863250732422
2015-09-14,484.1944580078125,170.18899536132812,234.42031860351562,231.2501678466797,828.615966796875,128.31455993652344,212.33465576171875
2015-09-15,470.2404479980469,169.26699829101562,232.91455078125,227.93930053710938,830.885498046875,127.17201232910156,210.2135772705078
2015-09-16,482.2915954589844,171.00999450683594,235.25942993164062,231.63218688964844,850.2237548828125,127.37071990966797,213.73370361328125
2015-09-18,504.9302673339844,175.32000732421875,241.3285369873047,235.87686157226562,868.7111206054688,130.62950134277344,218.4271697998047
2015-09-21,515.2249755859375,176.80499267578125,242.06422424316406,237.10781860351562,863.8410034179688,132.2290802001953,221.360595703125
2015-09-22,497.3678283691406,170.8000030517578,236.93763732910156,229.6796417236328,839.7744750976562,127.70854187011719,214.77166748046875
2015-09-23,499.3193664550781,174.2480010986328,241.20208740234375,232.05665588378906,856.3231811523438,130.87789916992188,216.4866180419922
2015-09-24,501.5149841308594,174.0189971923828,241.70787048339844,227.76954650878906,876.5125732421875,130.04331970214844,215.76451110839844
2015-09-28,494.4404296875,172.8159942626953,240.55841064453125,227.59971618652344,870.8387451171875,127.39060974121094,216.1255340576172
2015-09-29,492.2936096191406,174.21099853515625,244.78839111328125,228.36380004882812,890.177001953125,129.45716857910156,218.33689880371094
2015-09-30,483.6577453613281,173.7220001220703,245.70799255371094,229.5098419189453,891.2171630859375,128.7815399169922,214.0496063232422
2015-10-01,484.2431945800781,172.91799926757812,245.4436492919922,226.75079345703125,905.5436401367188,127.3409194946289,212.24440002441406
2015-10-05,500.8319396972656,177.8459930419922,252.5012664794922,238.50857543945312,907.529541015625,129.76516723632812,216.62196350097656
2015-10-06,494.1476135253906,177.48500061035156,249.65060424804688,240.03663635253906,900.4373168945312,130.30165100097656,216.71221923828125
2015-10-07,484.7798767089844,177.47000122070312,250.064453125,240.24887084960938,896.7965087890625,131.24551391601562,219.826171875
2015-10-08,479.6081237792969,176.0749969482422,248.9954071044922,236.38623046875,893.4393920898438,129.87440490722656,219.60052490234375
2015-10-09,478.58355712890625,177.50599670410156,249.69659423828125,242.88058471679688,888.9476928710938,131.04678344726562,219.7359161376953
2015-10-12,475.2657775878906,176.91600036621094,248.40924072265625,244.15396118164062,893.2503662109375,131.5535125732422,220.72877502441406
2015-10-13,479.0226745605469,177.01499938964844,247.443603515625,244.02664184570312,894.5269775390625,130.36126708984375,220.05181884765625
2015-10-14,483.5113830566406,176.67999267578125,249.37474060058594,240.1639862060547,898.2622680664062,129.72540283203125,220.45799255371094
2015-10-15,486.63397216796875,178.0850067138672,249.23680114746094,243.09280395507812,905.7327880859375,129.8446044921875,224.70016479492188
2015-10-16,492.781494140625,181.01400756835938,252.89212036132812,245.72451782226562,912.021240234375,131.00704956054688,231.78549194335938
2015-10-19,494.3916015625,179.86399841308594,252.3748321533203,243.81443786621094,909.7516479492188,130.81826782226562,229.7095489501953
2015-10-20,497.0750427246094,179.7209930419922,251.70814514160156,242.96551513671875,904.6925659179688,129.96383666992188,230.02548217773438
2015-10-21,499.3681945800781,178.13600158691406,251.73114013671875,239.99420166015625,905.4017944335938,130.4705810546875,225.4674072265625
2015-10-23,512.9319458007812,180.1479949951172,254.83470153808594,243.0079345703125,907.6240844726562,132.1793975830078,228.71670532226562
2015-10-26,508.4431457519531,179.3780059814453,253.22543334960938,242.24386596679688,905.8746948242188,131.52369689941406,226.776123046875
2015-10-27,509.1750183105469,179.64300537109375,255.38632202148438,240.8431396484375,902.139404296875,131.23553466796875,224.56478881835938
2015-10-28,471.2162170410156,175.4550018310547,255.5243682861328,230.23141479492188,873.9593505859375,133.4213409423828,218.47230529785156
2015-10-29,457.6037292480469,174.22500610351562,253.6967315673828,230.44366455078125,864.7865600585938,131.9409942626953,213.8690643310547
2015-10-30,463.8976745605469,174.66000366210938,252.78863525390625,235.15524291992188,862.3280639648438,136.640380859375,213.9593505859375
2015-11-02,466.6787414550781,174.41299438476562,248.9954071044922,237.32005310058594,863.9828491210938,136.411865234375,213.82395935058594
2015-11-03,463.16583251953125,174.49099731445312,249.40924072265625,237.23516845703125,862.2806396484375,135.7362823486328,212.96646118164062
2015-11-04,461.0678405761719,173.48699951171875,248.673583984375,232.05665588378906,864.0301513671875,133.6995391845703,215.71939086914062
2015-11-05,452.57830810546875,171.31700134277344,248.24830627441406,229.2551727294922,858.1199340820312,129.27828979492188,211.1161651611328
2015-11-06,453.89569091796875,172.38800048828125,248.48965454101562,226.75079345703125,870.885986328125,130.45066833496094,219.32974243164062
2015-11-09,453.7005310058594,171.71499633789062,244.78839111328125,223.3975067138672,873.202880859375,131.16600036621094,222.12779235839844
2015-11-10,457.01824951171875,169.77099609375,242.44351196289062,223.10037231445312,845.1646728515625,128.53314208984375,217.705078125
2015-11-13,473.21661376953125,170.18099975585938,241.85733032226562,222.20901489257812,843.7462158203125,133.05372619628906,216.84762573242188
2015-11-16,469.80126953125,172.89199829101562,243.9033203125,226.8781280517578,862.8008422851562,134.9414520263672,224.1134796142578
2015-11-17,464.09283447265625,172.44500732421875,243.8688507080078,227.3874969482422,856.9852294921875,134.55397033691406,223.7073211669922
2015-11-18,452.3343811035156,169.0449981689453,241.06417846679688,221.1053466796875,852.0677490234375,133.6895751953125,217.52456665039062
2015-11-19,451.8464660644531,171.69200134277344,245.73097229003906,226.15652465820312,864.4556274414062,135.5375518798828,220.14208984375
2015-11-20,448.7238464355469,171.55599975585938,246.17929077148438,224.92559814453125,871.7369995117188,135.57730102539062,219.2846221923828
2015-11-23,451.50494384765625,171.53599548339844,245.07583618164062,225.77450561523438,869.7039184570312,135.9349822998047,219.05897521972656
2015-11-24,452.62713623046875,170.6439971923828,244.68495178222656,223.56729125976562,869.5620727539062,134.6433868408203,217.8856201171875
2015-11-26,454.0420227050781,171.82000732421875,244.59300231933594,224.1190948486328,865.779541015625,136.15353393554688,218.87844848632812
2015-11-27,459.6041259765625,174.5679931640625,248.14483642578125,229.2551727294922,873.1554565429688,138.8460235595703,225.37710571289062
2015-11-30,457.31097412109375,175.2469940185547,247.7655487060547,232.22645568847656,884.4086303710938,137.57427978515625,224.4293975830078
2015-12-01,450.43157958984375,175.02099609375,248.97242736816406,232.5235595703125,891.4063720703125,136.82913208007812,225.8284149169922
2015-12-02,448.38238525390625,173.4340057373047,247.7770233154297,229.55230712890625,891.359130859375,135.20968627929688,220.77392578125
2015-12-03,451.3097839355469,172.4669952392578,247.53562927246094,225.64720153808594,895.2362670898438,134.08700561523438,217.61485290527344
2015-12-04,449.358154296875,169.68499755859375,243.43203735351562,221.9542999267578,891.6900634765625,132.07012939453125,217.61485290527344
2015-12-07,451.1146240234375,170.7830047607422,244.13319396972656,223.31263732910156,900.9573974609375,133.45115661621094,215.4034881591797
2015-12-08,447.6993103027344,169.01400756835938,241.213623046875,221.9542999267578,892.8720703125,133.9280242919922,212.96646118164062
2015-12-09,439.69769287109375,167.83999633789062,240.79978942871094,220.25643920898438,877.4109497070312,132.85501098632812,211.5674591064453
2015-12-10,439.06341552734375,167.86000061035156,243.82286071777344,219.83197021484375,879.53857421875,134.70297241210938,209.3561248779297
2015-12-11,429.98846435546875,164.56900024414062,240.54693603515625,211.63973999023438,866.3469848632812,132.67617797851562,205.1590576171875
2015-12-14,420.9134826660156,164.74899291992188,242.5469970703125,211.3850555419922,864.6447143554688,133.94790649414062,203.94058227539062
2015-12-15,425.54852294921875,165.6820068359375,243.5585174560547,209.1778106689453,868.2382202148438,136.43173217773438,204.3467254638672
2015-12-16,427.5489501953125,166.62600708007812,245.3631591796875,213.9743194580078,882.0445556640625,138.00149536132812,205.1590576171875
2015-12-17,425.0118408203125,168.27099609375,248.34027099609375,214.90817260742188,897.45849609375,139.7302703857422,208.4084014892578
2015-12-18,422.08441162109375,167.19200134277344,246.6735382080078,212.3188934326172,884.2195434570312,139.58123779296875,204.43699645996094
2015-12-21,431.6473388671875,168.84500122070312,247.2252960205078,219.19528198242188,898.9714965820312,140.2667694091797,208.00222778320312
2015-12-22,435.8921203613281,168.0959930419922,245.167724609375,220.34132385253906,883.8886108398438,138.73672485351562,206.10679626464844
2015-12-23,441.0638427734375,169.11900329589844,246.92637634277344,222.29388427734375,888.5694580078125,139.60110473632812,207.28016662597656
2015-12-24,439.8441162109375,169.61199951171875,246.90341186523438,218.9830322265625,894.0069580078125,139.36265563964844,206.0616455078125
2015-12-28,444.3327941894531,170.43299865722656,247.65057373046875,224.16156005859375,905.5436401367188,140.68408203125,206.60321044921875
2015-12-29,447.2602233886719,170.58099365234375,247.8114776611328,224.75579833984375,906.631103515625,140.3263702392578,205.9713897705078
2015-12-30,444.0888671875,169.8719940185547,246.97239685058594,222.7183380126953,915.8984375,140.9125518798828,203.80517578125
2015-12-31,438.2340087890625,170.25999450683594,248.77703857421875,221.8694305419922,916.2767333984375,143.0784454345703,202.58665466308594
2016-01-01,439.0146484375,171.3470001220703,250.29429626464844,223.27015686035156,911.4539184570312,144.50912475585938,205.61036682128906
2016-01-04,427.7928771972656,167.2949981689453,246.0988006591797,216.9456024169922,883.415771484375,140.1475372314453,199.20196533203125
2016-01-05,425.8900451660156,166.81399536132812,244.23666381835938,217.92184448242188,884.4086303710938,140.63436889648438,196.53932189941406
2016-01-06,420.27923583984375,165.12399291992188,245.31716918945312,212.3188934326172,892.6356811523438,139.80975341796875,195.72698974609375
2016-01-07,399.34820556640625,161.97999572753906,242.8113250732422,209.47496032714844,875.188720703125,137.43519592285156,189.1380615234375
2016-01-08,403.6905517578125,162.26800537109375,244.22518920898438,208.03173828125,895.5671997070312,138.1207275390625,188.59649658203125
2016-01-11,407.1058349609375,161.52099609375,243.36309814453125,203.2777099609375,885.8270263671875,139.26329040527344,184.39944458007812
2016-01-12,396.2744140625,159.21800231933594,240.68482971191406,200.985595703125,863.6045532226562,137.5047607421875,179.9767303466797
2016-01-13,396.8598937988281,160.38099670410156,243.71942138671875,203.3201446533203,885.4961547851562,136.93846130371094,181.33065795898438
2016-01-14,381.1493835449219,157.13099670410156,241.3285369873047,200.13665771484375,867.1506958007812,135.9349822998047,176.95306396484375
2016-01-15,365.19500732421875,154.15699768066406,239.5813751220703,190.54368591308594,871.4533081054688,134.24595642089844,166.34764099121094
2016-01-18,364.1703796386719,151.61399841308594,235.8341522216797,189.39761352539062,850.2237548828125,132.61656188964844,163.36907958984375
2016-01-19,383.4913635253906,153.56399536132812,238.12156677246094,194.19410705566406,847.7178955078125,132.87489318847656,165.12913513183594
2016-01-20,378.22198486328125,150.22500610351562,234.09844970703125,190.501220703125,826.1572265625,131.6727294921875,156.73501586914062
2016-01-21,399.25054931640625,151.65499877929688,235.17893981933594,192.11419677734375,825.9209594726562,131.3150634765625,158.4950714111328
2016-01-22,413.8876647949219,156.0279998779297,236.85716247558594,197.58984375,849.18359375,135.726318359375,166.61842346191406
2016-01-25,410.66754150390625,156.2779998779297,239.35150146484375,200.39132690429688,857.8834228515625,135.3189697265625,165.12913513183594
