Date,Close,gmm_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,gmm_regime,numeric_regime,smoothed_numeric_regime,smoothed_regime
2022-11-21,18159.94921875,2,0.05842664520951756,0.11925361880427326,0.8223197359862084,Risk-On,2,2,Risk-On
2022-11-22,18244.19921875,2,0.04517990596661371,0.087833066898435,0.8669870271349517,Risk-On,2,2,Risk-On
2022-11-23,18267.25,2,0.03682704108272152,0.09578917910696712,0.8673837798103116,Risk-On,2,2,Risk-On
2022-11-24,18484.099609375,2,0.04162045489059595,0.00015496831047858307,0.9582245767989261,Risk-On,2,2,Risk-On
2022-11-25,18512.75,2,0.016283179812325906,0.006213521109097137,0.9775032990785766,Risk-On,2,2,Risk-On
2022-11-28,18562.75,2,0.016682693620176648,0.0013396552580083748,0.9819776511218155,Risk-On,2,2,Risk-On
2022-11-29,18618.05078125,2,0.008841884452357604,0.004049633711547526,0.9871084818360943,Risk-On,2,2,Risk-On
2022-11-30,18758.349609375,2,0.05110503939707719,9.522953657891917e-07,0.9488940083075574,Risk-On,2,2,Risk-On
2022-12-01,18812.5,2,0.026904903472315337,0.00017811059756502965,0.9729169859301189,Risk-On,2,2,Risk-On
2022-12-02,18696.099609375,2,0.012366278701151768,0.03063385255583232,0.9569998687430158,Risk-On,2,2,Risk-On
2022-12-05,18701.05078125,2,0.014068326009024901,0.0033060717725474603,0.9826256022184272,Risk-On,2,2,Risk-On
2022-12-06,18642.75,2,0.007311787582048796,0.016725620708328302,0.9759625917096237,Risk-On,2,2,Risk-On
2022-12-07,18560.5,2,0.02199426610459607,0.04001845047629554,0.937987283419108,Risk-On,2,2,Risk-On
2022-12-08,18609.349609375,2,0.04639758160936611,0.07304727814169246,0.8805551402489419,Risk-On,2,2,Risk-On
2022-12-09,18496.599609375,2,0.009103296411727115,0.04535083355096132,0.9455458700373119,Risk-On,2,2,Risk-On
2022-12-12,18497.150390625,2,0.009399172488244673,0.025328269587094967,0.9652725579246595,Risk-On,2,2,Risk-On
2022-12-13,18608.0,2,0.010438816349960238,0.012619364257434101,0.976941819392605,Risk-On,2,2,Risk-On
2022-12-14,18660.30078125,2,0.008111870884984376,0.003296939705404307,0.9885911894096113,Risk-On,2,2,Risk-On
2022-12-15,18414.900390625,2,0.02220344651061588,0.2918205978049934,0.6859759556843913,Risk-On,2,2,Risk-On
2022-12-16,18269.0,2,0.02564964930444656,0.16761167266712174,0.8067386780284325,Risk-On,2,2,Risk-On
2022-12-19,18420.44921875,2,0.024543027753558697,0.03245409711296814,0.9430028751334735,Risk-On,2,2,Risk-On
2022-12-20,18385.30078125,2,0.014260087590474453,0.055082830182418815,0.9306570822271062,Risk-On,2,2,Risk-On
2022-12-21,18199.099609375,1,0.03337739785873279,0.7837395266255154,0.18288307551575164,Risk-Off,0,1,Neutral
2022-12-22,18127.349609375,1,0.10502095916325953,0.49781447327756934,0.39716456755917173,Risk-Off,0,0,Risk-Off
2022-12-23,17806.80078125,1,0.0023710631593012706,0.9972224806380688,0.00040645620263068515,Risk-Off,0,0,Risk-Off
2022-12-26,18014.599609375,0,0.9976232790166323,0.0017327961897723601,0.0006439247935959519,Neutral,1,1,Neutral
2022-12-27,18132.30078125,0,0.8606879429378281,0.01931566206135031,0.11999639500082193,Neutral,1,1,Neutral
2022-12-28,18122.5,2,0.10536252174275736,0.25824755751097694,0.6363899207462652,Risk-On,2,2,Risk-On
2022-12-29,18191.0,0,0.8588416753038259,0.001980485536838276,0.13917783915933607,Neutral,1,1,Neutral
2022-12-30,18105.30078125,1,0.11846035556211564,0.7542990473140804,0.12724059712380362,Risk-Off,0,0,Risk-Off
2023-01-02,18197.44921875,0,0.6634671566565095,0.01685124478619931,0.31968159855729084,Neutral,1,1,Neutral
2023-01-03,18232.55078125,2,0.1104350667998669,0.16558699340775734,0.7239779397923749,Risk-On,2,2,Risk-On
2023-01-04,18042.94921875,1,0.05815789791837839,0.7536938769060066,0.18814822517561533,Risk-Off,0,1,Neutral
2023-01-05,17992.150390625,0,0.41237417291210376,0.36611488130462005,0.22151094578327568,Neutral,1,1,Neutral
2023-01-06,17859.44921875,1,0.0767524770502635,0.8499977860475206,0.07324973690221606,Risk-Off,0,0,Risk-Off
2023-01-09,18101.19921875,0,0.9938475274554853,0.00013952490300863518,0.00601294764150554,Neutral,1,1,Neutral
2023-01-10,17914.150390625,1,0.044932883469247634,0.9529420055013477,0.0021251110294046877,Risk-Off,0,0,Risk-Off
2023-01-11,17895.69921875,1,0.411640927852332,0.48571938877698106,0.10263968337068631,Risk-Off,0,0,Risk-Off
2023-01-12,17858.19921875,1,0.177346596278765,0.6843681836416813,0.13828522007955427,Risk-Off,0,0,Risk-Off
2023-01-13,17956.599609375,0,0.8951042511761894,0.04753512845427842,0.057360620369531774,Neutral,1,1,Neutral
2023-01-16,17894.849609375,1,0.15655849537453595,0.7132238951734713,0.13021760945199293,Risk-Off,0,0,Risk-Off
2023-01-17,18053.30078125,0,0.7515188274886327,0.1270153924363741,0.12146578007499295,Neutral,1,1,Neutral
2023-01-18,18165.349609375,0,0.9497370859463007,0.013206891168245374,0.03705602288545387,Neutral,1,1,Neutral
2023-01-19,18107.849609375,1,0.3697007281401119,0.5775230859363103,0.05277618592357732,Risk-Off,0,0,Risk-Off
